Episode: 1: [-0.00099999 -0.00099999 -0.00099999 -0.00099999  0.00099999] 
Episode: 11: [ 0.00188165  0.00185256  0.00183355  0.00175588 -0.00183436] 
Episode: 21: [ 0.00388453  0.00376597  0.00353493  0.00307836 -0.0035804 ] 
Episode: 31: [ 0.00547089  0.00530813  0.00479411  0.00377629 -0.00487144] 
Episode: 41: [ 0.00650079  0.006411    0.0059948   0.00484033 -0.00597652] 
Episode: 51: [ 0.00572678  0.00657002  0.0071793   0.00649244 -0.00654754] 
Episode: 61: [ 0.00435763  0.00564677  0.00675495  0.00618621 -0.00578009] 
Episode: 71: [ 0.00651539  0.00792932  0.00908467  0.00852099 -0.00809439] 
Episode: 81: [ 0.00840575  0.00979307  0.01085715  0.01021923 -0.0099317 ] 
Episode: 91: [ 0.0102329   0.0117025   0.01335664  0.01266052 -0.01215333] 
Episode: 101: [ 0.01236278  0.01393971  0.0168933   0.01597667 -0.01503317] 
Episode: 111: [ 0.01376889  0.01417181  0.01538243  0.01448999 -0.01466166] 
Episode: 121: [ 0.01495657  0.01496218  0.01498243  0.01462675 -0.01510243] 
Episode: 131: [ 0.01578145  0.01636543  0.01570107  0.01570502 -0.01615589] 
Episode: 141: [ 0.0139884   0.01582042  0.01591065  0.01740069 -0.01605721] 
Episode: 151: [ 0.01209845  0.01471134  0.01551436  0.01849125 -0.01546247] 
Episode: 161: [ 0.01093487  0.01370238  0.01462513  0.01818991 -0.01457523] 
Episode: 171: [ 0.01217572  0.01523575  0.01553641  0.01789585 -0.01546457] 
Episode: 181: [ 0.01246172  0.01553335  0.01538663  0.01680701 -0.01528325] 
Episode: 191: [ 0.0125536   0.01552307  0.01529884  0.01635301 -0.01515902] 
Episode: 201: [ 0.01414287  0.01670101  0.0161568   0.01727646 -0.01636745] 
Episode: 211: [ 0.01570604  0.01790854  0.01712502  0.01856203 -0.01770384] 
Episode: 221: [ 0.01538266  0.0173925   0.01638561  0.017907   -0.01710991] 
Episode: 231: [ 0.01519368  0.01702059  0.01560929  0.01664825 -0.01641478] 
Episode: 241: [ 0.01593794  0.01766515  0.01619071  0.01725908 -0.01710114] 
Episode: 251: [ 0.01691509  0.01855397  0.0167604   0.01715277 -0.01771461] 
Episode: 261: [ 0.01717447  0.01865431  0.01645494  0.01643643 -0.01753354] 
Episode: 271: [ 0.01677405  0.01828649  0.01565253  0.01500916 -0.01672923] 
Episode: 281: [ 0.0164459   0.01805386  0.01520829  0.01418605 -0.01623745] 
Episode: 291: [ 0.018529    0.02033916  0.01688321  0.01474621 -0.01798231] 
Episode: 301: [ 0.02047713  0.0223928   0.01853376  0.01562737 -0.01970572] 
Episode: 311: [ 0.02076598  0.02237293  0.01816863  0.01516814 -0.01956057] 
Episode: 321: [ 0.02201917  0.02287579  0.01800765  0.0143553  -0.01976833] 
Episode: 331: [ 0.02303403  0.02366061  0.01853869  0.01429877 -0.02036748] 
Episode: 341: [ 0.02184438  0.02215068  0.01650612  0.01204288 -0.01852784] 
Episode: 351: [ 0.02314939  0.02380286  0.01857103  0.01423837 -0.02043201] 
Episode: 361: [ 0.02559453  0.02571047  0.02063011  0.01611608 -0.02261496] 
Episode: 371: [ 0.02834952  0.02843096  0.021913    0.01500969 -0.02407666] 
Episode: 381: [ 0.02962049  0.0297005   0.02238212  0.01402128 -0.02459208] 
Episode: 391: [ 0.03060771  0.03052234  0.02268376  0.01349169 -0.02499863] 
